portal_id,title_ru,title_en
73,"Статья К.Э. Циолковского ""Реактивное движение и его успехи""","Article by K. E. Tsiolkovsky ""Jet Propulsion and Its Successes"""
74,"Статья К.Э. Циолковского ""Реактивное движение"" [ответ редакции газеты ""Гудок"" на письмо от 28 апреля 1932 г.]. Опубликована в журнале ""В бой за технику"" [№№ 15-16, 1932 г.]","Article by K. E. Tsiolkovsky ""Jet Propulsion"" [reply to the editorial board of the newspaper ""Gudok"" to a letter of 28 April 1932]. Published in the journal ""Into Battle for Technology"" [nos. 15-16, 1932]"
75,"Статья К.Э. Циолковского ""Достижение стратосферы""","Article by K. E. Tsiolkovsky ""Attainment of the Stratosphere"""
76,"Лекция К.Э. Циолковского ""Звездоплавание""","Lecture by K. E. Tsiolkovsky ""Star Voyaging"""
77,"Рисунки К.Э. Циолковского ""Скорый трамвайный вагон [для целей звездоплавания]""","Drawings by K. E. Tsiolkovsky ""Fast Tram Car [for the Purposes of Star Voyaging]"""
78,"Статья К.Э. Циолковского ""Скорый вагон""","Article by K. E. Tsiolkovsky ""Fast Car"""
79,"Статья К.Э. Циолковского ""Полет в стратосфере""","Article by K. E. Tsiolkovsky ""Flight in the Stratosphere"""
80,"Статья К.Э. Циолковского ""Быстроходный аэроплан высот [Суперавиация]""","Article by K. E. Tsiolkovsky ""High-Speed High-Altitude Airplane [Superaviation]"""
81,"Статья К.Э. Циолковского ""Высотный самолет или стратоплан"". Опубликована в журнале ""Хочу все знать""","Article by K. E. Tsiolkovsky ""High-Altitude Airplane or Stratoplane"". Published in the journal ""I Want to Know Everything"""
82,"Статья К.Э. Циолковского ""Вращение тел, наибольшая скорость и запас механической энергии""","Article by K. E. Tsiolkovsky ""Rotation of Bodies, Maximum Speed, and Reserve of Mechanical Energy"""
83,"Статья К.Э. Циолковского ""Взрывчатые вещества для реактивного прибора [звездолета]""","Article by K. E. Tsiolkovsky ""Explosive Substances for a Jet Apparatus [Starship]"""
84,"Статья К.Э. Циолковского ""Альбом космических путешествий""","Article by K. E. Tsiolkovsky ""Album of Space Travels"""
85,"Статья К.Э. Циолковского ""Парогазовый турбинный мотор для дирижаблей, аэропланов, стратопланов, автомобилей и др. целей""","Article by K. E. Tsiolkovsky ""Steam-Gas Turbine Motor for Airships, Airplanes, Stratoplanes, Automobiles and Other Purposes"""
86,"Статья К.Э. Циолковского ""Звездолет с предшествующими ему машинами""","Article by K. E. Tsiolkovsky ""Starship with the Machines Preceding It"""
87,"Рисунки К.Э. Циолковского ""Межпланетные путешествия"" и объяснения для кинофильма","Drawings by K. E. Tsiolkovsky ""Interplanetary Travels"" and explanations for a film"
88,"Перечень картин К.Э. Циолковского, иллюстрирующих межпланетные путешествия с помощью ракеты и жизнь вне Земли, в Совкино. Надписи к картинам и замечания","List of pictures by K. E. Tsiolkovsky illustrating interplanetary travels by means of a rocket and life beyond Earth, at Sovkino. Captions to the pictures and remarks"
89,"Таблицы К.Э. Циолковского ""Явление на астероидах"" для кинофильма","Tables by K. E. Tsiolkovsky ""Phenomenon on the Asteroids"" for a film"
90,"Таблицы К.Э. Циолковского ""Явление на планетах и больших спутниках"" для кинофильма","Tables by K. E. Tsiolkovsky ""Phenomenon on the Planets and Large Satellites"" for a film"
91,"Схемы К.Э. Циолковского, схематические изображения планет солнечной системы, расстояние между ними, силы притяжения и др. для кинофильма","Diagrams by K. E. Tsiolkovsky, schematic depictions of the planets of the solar system, the distance between them, forces of attraction and others for a film"
92,"Масштабные таблицы размеров и схематические рисунки человеческого тела К.Э. Циолковского ""Тело. [Куклы]"" для кинофильма","Scale tables of dimensions and schematic drawings of the human body by K. E. Tsiolkovsky ""The Body. [Dolls]"" for a film"
93,"Статья К.Э. Циолковского ""Снаряды, приобретающие космические скорости на суше или воде""","Article by K. E. Tsiolkovsky ""Projectiles Acquiring Cosmic Velocities on Land or Water"""
94,План К.Э. Циолковского к описанию путешествия на ракете вне Земли для кинофильма,Plan by K. E. Tsiolkovsky for a description of a journey by rocket beyond Earth for a film
95,"Конспект статьи К.Э. Циолковского ""Полеты в атмосфере и вне её""","Synopsis of the article by K. E. Tsiolkovsky ""Flights in the Atmosphere and Beyond It"""
96,Набросок программы работ К.Э. Циолковского в РНИИ [Реактивном научно-исследовательском Институте],Draft of a program of works by K. E. Tsiolkovsky at RNII [the Jet Scientific Research Institute]
97,"Отрывок К.Э. Циолковского ""Небольшая колония кругом Земли""","Extract by K. E. Tsiolkovsky ""A Small Colony Around the Earth"""
98,"Статья К.Э. Циолковского ""Аэропланы и стратопланы"" [не окончена]","Article by K. E. Tsiolkovsky ""Airplanes and Stratoplanes"" [not finished]"
99,Формулы газовых машин К.Э. Циолковского. [К работе Основы построения],Formulas of gas machines by K. E. Tsiolkovsky. [For the work Fundamentals of Construction]
100,"Статья К.Э. Циолковского ""Мощные моторы наименьшего веса и объема"" [часть работы ""Основы построения""]","Article by K. E. Tsiolkovsky ""Powerful Motors of the Least Weight and Volume"" [part of the work ""Fundamentals of Construction""]"
101,"Основы построения газовых машин, моторов и летательных приборов К.Э. Циолковского. Глава I. Сжатие и расширение газов","Fundamentals of the Construction of Gas Machines, Motors and Flying Apparatus by K. E. Tsiolkovsky. Chapter I. Compression and Expansion of Gases"
102,"Основы построения газовых машин, моторов и летательных приборов К.Э. Циолковского. Глава II. Давление нормального потока на плоскость","Foundations of the Construction of Gas Machines, Motors and Flying Apparatus by K. E. Tsiolkovsky. Chapter II. Pressure of a Normal Flow on a Plane"
103,"Основы построения газовых машин, моторов и летательных приборов К.Э. Циолковского. Глава III. Трение в газах","Foundations of the Construction of Gas Machines, Motors and Flying Apparatus by K. E. Tsiolkovsky. Chapter III. Friction in Gases"
104,"Основы построения газовых машин, моторов и летательных приборов К.Э. Циолковского. Глава VII. Наибольшая скорость вращения тел и запас их механической энергии. Фрагменты работы","Foundations of the Construction of Gas Machines, Motors and Flying Apparatus by K. E. Tsiolkovsky. Chapter VII. The Greatest Speed of Rotation of Bodies and the Store of Their Mechanical Energy. Fragments of the work"
105,"Основы построения газовых машин, моторов и летательных приборов К.Э. Циолковского. Глава Х. Наибольшая скорость ракеты","Foundations of the Construction of Gas Machines, Motors and Flying Apparatus by K. E. Tsiolkovsky. Chapter X. The Greatest Speed of a Rocket"
106,"Статья К.Э. Циолковского ""Применение реактивных приборов к исследованию стратосферы"" [не окончена]","Article by K. E. Tsiolkovsky ""The Application of Reactive Devices to the Study of the Stratosphere"" [not finished]"
107,"Основы построения газовых машин, моторов и летательных приборов К.Э. Циолковского. Глава IV. Сопротивление газовой среды движению плавных птицеподобных тел","Foundations of the Construction of Gas Machines, Motors and Flying Apparatus by K. E. Tsiolkovsky. Chapter IV. Resistance of a Gaseous Medium to the Motion of Smooth Bird-like Bodies"
108,"Основы построения газовых машин, моторов и летательных приборов К.Э. Циолковского. Глава VI. Энергия химического соединения веществ и выбор составных частей взрыва","Foundations of the Construction of Gas Machines, Motors and Flying Apparatus by K. E. Tsiolkovsky. Chapter VI. The Energy of Chemical Combination of Substances and the Choice of Constituent Parts of an Explosion"
109,"Основы построения газовых машин, моторов и летательных приборов К.Э. Циолковского. Глава XI. Грубый расчет полета ракетоплана","Foundations of the Construction of Gas Machines, Motors and Flying Apparatus by K. E. Tsiolkovsky. Chapter XI. A Rough Calculation of the Flight of a Rocket Plane"
110,"Статья К.Э. Циолковского ""Вообще о двигателях, пригодных к полетам""","Article by K. E. Tsiolkovsky ""In General, on Engines Suitable for Flights"""
111,"Основы построения газовых машин, моторов и летательных приборов К.Э. Циолковского. Глава VIII - IX. Новые двигатели двух типов [Два типа моторов]. Черновые материалы","Foundations of the Construction of Gas Machines, Motors and Flying Apparatus by K. E. Tsiolkovsky. Chapter VIII-IX. New Engines of Two Types [Two Types of Motors]. Draft materials"
112,"Статья К.Э. Циолковского ""Новые двигатели двух типов"" [по материалам главы VIII-й работы ""Основы построения""]","Article by K. E. Tsiolkovsky ""New Engines of Two Types"" [based on materials from Chapter VIII of the work ""Foundations of Construction""]"
113,"Статья К.Э. Циолковского ""Второй тип моторов - с запасным кислородным соединением и без воды""","Article by K. E. Tsiolkovsky ""The Second Type of Motors - with a Reserve Oxygen Compound and without Water"""
114,"Статья К.Э. Циолковского ""Особый прием достижения высших скоростей реактивными летательными машинами""","Article by K. E. Tsiolkovsky ""A Special Method of Achieving Higher Speeds by Reactive Flying Machines"""
115,"Статья К.Э. Циолковского ""Изобретателям реактивных машин""","Article by K. E. Tsiolkovsky ""To Inventors of Reactive Machines"""
116,"Статья К.Э. Циолковского ""Фантазия ли заатмосферные полеты?""","Article by K. E. Tsiolkovsky ""Is Trans-Atmospheric Flight a Fantasy?"""
117,"Основы построения газовых машин, моторов и летательных приборов К.Э. Циолковского. Глава V. Плотность, температура и давление разных слоев атмосферы","Foundations of the Construction of Gas Machines, Motors and Flying Apparatus by K. E. Tsiolkovsky. Chapter V. Density, Temperature and Pressure of Different Layers of the Atmosphere"
118,"Статья К.Э. Циолковского ""Авиация, воздухоплавание и ракетоплавание в 20-м веке""","Article by K. E. Tsiolkovsky ""Aviation, Aeronautics and Rocket Flight in the 20th Century"""
119,"Фрагменты статьи К.Э. Циолковского, посвященной космическим полетам",Fragments of an article by K. E. Tsiolkovsky devoted to space flights
120,"Таблицы К.Э. Циолковского, относящиеся к движению ракеты",Tables by K. E. Tsiolkovsky relating to the motion of a rocket
121,"Фрагмент статьи К.Э. Циолковского ""Предисловие автора""","Fragment of an article by K. E. Tsiolkovsky ""The Author's Preface"""
122,"Фрагменты статей К.Э. Циолковского, относящихся к вопросу о реактивных летательных аппаратах",Fragments of articles by K. E. Tsiolkovsky relating to the question of reactive flying apparatus
123,"Статья К.Э. Циолковского ""Теория и опыт аэростата, имеющего в горизонтальном направлении удлиненную форму""","Article by K. E. Tsiolkovsky ""Theory and Experience of an Aerostat Having an Elongated Form in the Horizontal Direction"""
124,"Статья К.Э. Циолковского Окончание статьи: ""Построение металлического управляемого аэростата на 200 человек""","Article by K. E. Tsiolkovsky. End of the article: ""Construction of a Metal Controllable Aerostat for 200 People"""
125,"Статья К.Э. Циолковского ""О возможности построения металлического аэростата, способного изменять свой объем и даже складываться в плоскость""","Article by K. E. Tsiolkovsky ""On the Possibility of Constructing a Metal Aerostat Capable of Changing Its Volume and Even Folding into a Plane"""
127,"Оглавление, отдельные главы и к работе К.Э. Циолковского ""Аэростат и аэроплан""","Table of contents, separate chapters, and to the work by K. E. Tsiolkovsky ""Aerostat and Aeroplane"""
128,"Статья К.Э. Циолковского ""Воздушный корабль"". [1-й вариант]","Article by K. E. Tsiolkovsky ""The Airship"". [1st variant]"
129,"[Глава из работы ""Аэростат и аэроплан""] К.Э. Циолковского ""Оболочка волны""","[Chapter from the work ""Aerostat and Aeroplane""] by K. E. Tsiolkovsky ""The Envelope of the Wave"""
130,"Таблицы и формулы К.Э. Циолковского ""Расчеты построения аэроната [самое старое и новое]""","Tables and formulas by K. E. Tsiolkovsky ""Calculations for the Construction of an Aeronat [the oldest and the newest]"""
131,"Статья К.Э. Циолковского ""Воздушный корабль"". [2-й вариант]","Article by K. E. Tsiolkovsky ""The Airship"". [2nd variant]"
132,"Статья К.Э. Циолковского ""Гладкий металлический аэронат""","Article by K. E. Tsiolkovsky ""The Smooth Metal Aeronat"""
133,"Статья К.Э. Циолковского ""Движение аэроната""","Article by K. E. Tsiolkovsky ""The Motion of the Aeronat"""
134,Чертеж дирижабля и прокатного вала К.Э. Циолковского,Drawing of an airship and a rolling mill shaft by K. E. Tsiolkovsky
135,"Часть статьи ""Первая модель чисто-металлического аэроната"" К.Э. Циолковского ""Картина после введения дирижаблей в жизнь [Техническая фантазия]"", изданной в виде брошюры в 1913 г","Part of the article ""The First Model of a Purely Metal Aeronat"" by K. E. Tsiolkovsky ""The Picture after the Introduction of Airships into Life [Technical Fantasy]"", published as a brochure in 1913"
136,"Статья К.Э. Циолковского ""Одно из средств устранить дороговизну""","Article by K. E. Tsiolkovsky ""One of the Means to Eliminate High Cost"""
137,"Описание диапозитивов К.Э. Циолковского ""Описание световых картин. Металлический дирижабль К.Э. Циолковского""","Description of slides by K. E. Tsiolkovsky ""Description of Light Pictures. Metal Airship of K. E. Tsiolkovsky"""
138,Расчеты и формулы для таблиц дирижабля К.Э. Циолковского,Calculations and formulas for tables of an airship by K. E. Tsiolkovsky
139,"Первые шаги строительства, Что делать [Отбросок от Воздушного транспорта и Гондолы] К.Э. Циолковского","First Steps of Construction, What to Do [A Cast-off from Air Transport and the Gondola] by K. E. Tsiolkovsky"
141,"Статья К.Э. Циолковского ""Почему трудно ввести в жизнь мой дирижабль""","Article by K. E. Tsiolkovsky ""Why It Is Difficult to Introduce My Airship into Life"""
142,"Фрагменты статьи К.Э. Циолковского ""Построение дирижаблей из волнистого металла. Продолжение работ""","Fragments of an article by K. E. Tsiolkovsky ""Construction of Airships from Corrugated Metal. Continuation of the Work"""
143,"Статья К.Э. Циолковского ""Успехи воздушного передвижения с 1914 до 1919 года""","Article by K. E. Tsiolkovsky ""Successes of Air Travel from 1914 to 1919"""
144,"Статья К.Э. Циолковского ""История моего дирижабля из волнистого металла""","An article by K. E. Tsiolkovsky, ""The History of My Airship of Corrugated Metal"""
145,"Статья К.Э. Циолковского ""Металлический дирижабль 1921 года""","An article by K. E. Tsiolkovsky, ""The Metal Airship of 1921"""
146,"Описание чертежей и таблиц К.Э. Циолковского ""Металлический дирижабль 1921 года [чертежи и таблицы]""","Description of drawings and tables by K. E. Tsiolkovsky, ""The Metal Airship of 1921 [drawings and tables]"""
147,"Программы работ, письма К.Э. Циолковского с заданиями по строительству дирижабля","Work programs, letters of K. E. Tsiolkovsky with assignments for the construction of the airship"
148,"[Выдержки из работы ""Металлический дирижабль 1920 г.""] К.Э. Циолковского ""Порядок практических работ при постройке металлического дирижабля""","[Extracts from the work ""The Metal Airship of 1920""] by K. E. Tsiolkovsky, ""The Order of Practical Work in Building a Metal Airship"""
149,"Набросок чертежа верфи дирижабля К.Э. Циолковского ""Верфь""","A sketch of a drawing of the airship yard by K. E. Tsiolkovsky, ""The Yard"""
